head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.029792142225214407,0.00685581806506442,73,150,0.1527777777777778
1,0,1,0.024243727499879242,0.005014183401279292,42,69,0.3263888888888889
2,0,2,0.021932788230395822,0.00464722239099724,26,56,0.3159722222222222
3,0,3,0.025270310509688854,0.004574215352585116,49,51,0.4131944444444444
4,0,4,0.020234183926291522,0.003026993881404176,17,5,0.4618055555555556
5,0,5,0.019295976998154232,0.0032570977689915476,11,8,0.4305555555555556
6,0,6,0.041183124398850066,0.004154571988844422,183,31,0.9479166666666666
7,0,7,0.02172860006399126,0.0040350042343477634,25,24,0.4236111111111111
8,1,0,0.020695264241959263,0.0032729846238558906,18,9,0.4513888888888889
9,1,1,0.01845459996071256,0.003137824832199356,9,6,0.4305555555555556
10,1,2,0.03138533837262649,0.004315795161288873,84,41,0.5694444444444444
11,1,3,0.0552032954421165,0.009354447913306736,250,225,0.5069444444444444
12,1,4,0.02453004905770134,0.003379146041760177,45,12,0.5347222222222222
13,1,5,0.027269035412318142,0.005363561264777079,58,78,0.3506944444444444
14,1,6,0.01764458362887391,0.003499311596163349,7,15,0.3923611111111111
15,1,7,0.022386165097742744,0.004050408465066036,31,30,0.4236111111111111
16,2,0,0.014411009708163917,0.002932070048565892,1,4,0.4097222222222222
17,2,1,0.021712699509079746,0.004447411509434032,24,47,0.3402777777777778
18,2,2,0.032763488217140285,0.004246032278770184,100,37,0.6388888888888888
19,2,3,0.02753782929880935,0.00403628352940445,62,25,0.5486111111111112
20,2,4,0.01840906475010107,0.004048010805750679,8,29,0.3472222222222222
21,2,5,0.016400064345919795,0.00291213845737287,3,2,0.4236111111111111
22,2,6,0.06767291035490083,0.010329910513839172,268,246,0.4965277777777778
23,2,7,0.02347779798291889,0.0045420434140756045,37,50,0.375
24,3,0,0.02970763263066985,0.004631620922977576,72,53,0.4861111111111111
25,3,1,0.03961144663317976,0.006073332929621183,166,114,0.6006944444444444
26,3,2,0.022279779421022723,0.003155844683774166,30,7,0.5
27,3,3,0.03663747006865134,0.006479796658947179,140,136,0.4340277777777778
28,3,4,0.022118695299924346,0.00419770265061884,27,33,0.3993055555555556
29,3,5,0.02732188547396941,0.004645578682522437,59,55,0.4340277777777778
30,3,6,0.04606846924479406,0.0075006180029259005,213,177,0.5451388888888888
31,3,7,0.034766456459521936,0.0049463799922280565,120,66,0.6076388888888888
32,4,0,0.030869637504361367,0.005886791180407654,81,103,0.34375
33,4,1,0.05781781532566554,0.009189427841773292,256,223,0.5347222222222222
34,4,2,0.05957611673749751,0.012964443278888,259,269,0.3854166666666667
35,4,3,0.053782701901442125,0.009361767293778455,245,226,0.4861111111111111
36,4,4,0.06483589420657206,0.008277468861532756,267,197,0.6631944444444444
37,4,5,0.07098331708199877,0.009773067203626968,271,235,0.5451388888888888
38,4,6,0.03214849574301291,0.004722549564219037,91,60,0.5277777777777778
39,4,7,0.05463533271109469,0.009038821207785631,249,219,0.5243055555555556
40,5,0,0.05274939319961791,0.0126512898873409,241,266,0.3333333333333333
41,5,1,0.06952169510976462,0.014631199678279761,270,272,0.4131944444444444
42,5,2,0.03549807544824021,0.0064258988060974425,127,134,0.3958333333333333
43,5,3,0.04005083579053569,0.010473985236544567,172,247,0.1597222222222222
44,5,4,0.043352625147078196,0.008381765455452782,195,202,0.3958333333333333
45,5,5,0.04164111119071578,0.008039648373922405,186,187,0.4166666666666667
46,5,6,0.0558937171385576,0.008281831027972367,253,199,0.6076388888888888
47,5,7,0.024751256621179083,0.005819725796846774,47,98,0.24305555555555555
48,6,0,0.04698957192697335,0.010527863707391182,220,251,0.3125
49,6,1,0.03538623070447732,0.006208213606192629,124,125,0.4166666666666667
50,6,2,0.03168314436209203,0.006184046080809353,87,122,0.2986111111111111
51,6,3,0.033134090672651655,0.007757407864001527,103,185,0.13541666666666666
52,6,4,0.040160039508904656,0.008252055465225257,174,196,0.34375
53,6,5,0.03147870123991169,0.006170374178909552,86,121,0.2986111111111111
54,6,6,0.03583619804120876,0.00737671729294992,133,171,0.2881944444444444
55,6,7,0.03971610324315551,0.0074786012255949,168,176,0.3923611111111111
56,7,0,0.027361317754189478,0.005515183109568758,60,85,0.3333333333333333
57,7,1,0.022231262320037155,0.003894711353625201,29,18,0.4583333333333333
58,7,2,0.020994682339837787,0.004196395169173942,20,32,0.3784722222222222
59,7,3,0.030005449235460977,0.005393881129966164,76,79,0.4097222222222222
60,7,4,0.039261114907536865,0.006832162380547451,164,149,0.4722222222222222
61,7,5,0.03848879995975652,0.00656509613595184,158,140,0.4826388888888889
62,7,6,0.037638578548735445,0.006992133554832587,146,154,0.3923611111111111
63,7,7,0.03469089523302976,0.008126933981674684,119,192,0.16666666666666666
64,8,0,0.026375234779277976,0.004658881158877684,52,57,0.4027777777777778
65,8,1,0.034069827363805,0.008371830205569105,113,201,0.11458333333333333
