head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.049630039557662056,0.005477427511124973,917,957,0.4457193292144748
1,0,1,0.01676799984868318,0.00238184817229536,139,127,0.4916151809355693
2,0,2,0.013614079388933968,0.0020499798414033224,85,70,0.4942630185348632
3,0,3,0.012927889994912147,0.002152635433240233,71,85,0.46866725507502205
4,0,4,0.008090151551321796,0.0013850992115786562,13,12,0.4819064430714916
5,0,5,0.013358685551377517,0.0019647423883663614,81,54,0.5048543689320388
6,0,6,0.013280937628763818,0.0016780467658621433,77,27,0.5251544571932921
7,0,7,0.00810989951449355,0.0015053433079417076,14,15,0.4801412180052957
8,0,8,0.013723084821849932,0.0024590494686985947,87,145,0.4298323036187114
9,0,9,0.014446831462187781,0.002143330916066787,101,84,0.4960282436010591
10,0,10,0.01758254772875044,0.002409005206793793,157,134,0.501323918799647
11,0,11,0.012721157667292878,0.002102625774150236,68,79,0.471315092674316
12,0,12,0.011053629023400322,0.00169160162409562,41,28,0.49249779346866723
13,0,13,0.009847486926152478,0.0020281660923611535,23,68,0.44130626654898497
14,0,14,0.01602697043617829,0.0021196737899435267,128,81,0.5225066195939982
15,0,15,0.021061551975051263,0.0021892009501493256,230,91,0.6037069726390115
16,0,16,0.011396064901885945,0.0017259749586016543,50,30,0.49867608120035306
17,0,17,0.011166680245133693,0.001751289575695836,43,31,0.4916151809355693
18,0,18,0.028804894627693815,0.0026358542374869233,385,184,0.6584289496910856
19,0,19,0.014668185834300351,0.001977250257997891,105,59,0.5216240070609003
20,0,20,0.015265502781831076,0.0023776725174623134,112,125,0.46954986760812
21,0,21,0.010286268843548892,0.0018485840207830573,27,41,0.46866725507502205
22,0,22,0.031174386280851007,0.002429951696023875,445,139,0.7511032656663724
23,0,23,0.017807264905991074,0.0024268208470044545,162,138,0.502206531332745
24,0,24,0.030971453218127318,0.00341373326779734,438,351,0.5578111209179171
25,0,25,0.007876396323115415,0.0012448015056121175,11,6,0.4854368932038835
26,0,26,0.014319909975936627,0.00215309662352777,96,86,0.48984995586937335
27,0,27,0.01875187229375443,0.002833805512041679,181,217,0.4492497793468667
28,0,28,0.03637218208803899,0.0028970118746434598,567,229,0.7793468667255075
29,0,29,0.011085253421730255,0.0019568119666494538,42,52,0.47219770520741394
30,0,30,0.013348992528152154,0.0018742731338898574,79,43,0.5127978817299206
31,0,31,0.011185227461911057,0.0018040131299940745,44,36,0.4880847308031774
32,1,0,0.03383169662985826,0.003996233017971536,507,548,0.44483671668137686
