head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.010896811123420997,0.0033151475659920714,49,95,0.4595404595404595
1,0,1,0.026305717472111016,0.0115635704623628,123,378,0.25074925074925075
2,0,2,0.052351026458847295,0.015883190010574946,289,483,0.3116883116883117
3,0,3,0.03649484760001991,0.0058613414559111655,175,208,0.4725274725274725
4,0,4,0.10022257942167323,0.010903002298942227,739,365,0.8791208791208791
5,0,5,0.08428847573577299,0.009987506370191098,643,333,0.8151848151848152
6,0,6,0.07467115858785273,0.015366170439216302,547,475,0.5774225774225774
7,0,7,0.06141717902839744,0.016574408972317864,381,507,0.37962037962037964
8,1,0,0.0235896070497464,0.0052950866376582405,107,189,0.42357642357642356
9,1,1,0.06175857861742354,0.009409460760706416,387,315,0.5774225774225774
10,1,2,0.01485926325817695,0.006099284682644859,69,219,0.35564435564435565
11,1,3,0.03079501483992476,0.013573473655561047,143,433,0.21578421578421578
12,1,4,0.010875791350102929,0.005156106254667575,48,177,0.37662337662337664
13,1,5,0.08158909505040915,0.028467919901111603,614,682,0.43756243756243757
14,1,6,0.043538124334972915,0.006373950005409549,223,229,0.4995004995004995
15,1,7,0.0939420652951762,0.010749159022303412,718,359,0.8641358641358642
16,2,0,0.030981447133522775,0.005157398679323506,145,178,0.4725274725274725
17,2,1,0.028284924275853572,0.01632555577527571,133,497,0.14185814185814186
18,2,2,0.081332251780782,0.033854305173256195,609,740,0.37462537462537465
19,2,3,0.07356287825358564,0.03601039985338924,540,752,0.2937062937062937
20,2,4,0.0823547562548195,0.038850017181985566,628,762,0.37162837162837165
21,2,5,0.058011234653339884,0.0398500323524511,337,767,0.07592407592407592
22,2,6,0.0299571461559509,0.004115101672221312,139,132,0.5124875124875125
23,2,7,0.013752762979560594,0.0032034839291577477,64,91,0.4785214785214785
24,3,0,0.004393514847350797,0.0004754871997590773,18,18,0.5054945054945055
25,3,1,0.058818699352278715,0.022264332952214763,347,600,0.25274725274725274
26,3,2,0.023296802896000893,0.00862174456199181,106,293,0.31868131868131866
27,3,3,0.008193496483670668,0.001957591310132037,28,47,0.4865134865134865
28,3,4,0.008087788492266355,0.0011229801305635639,26,24,0.5074925074925075
29,3,5,0.01068774496754149,0.0020798645521826033,44,54,0.4955044955044955
30,3,6,0.010818033794031442,0.0015977018912520231,47,35,0.5174825174825175
31,3,7,0.008431142918313851,0.0016681922195797743,31,38,0.4985014985014985
32,4,0,0.00988286464103357,0.0017051658533505734,40,41,0.5044955044955045
33,4,1,0.02091280859866451,0.0008078303672038088,99,21,0.5834165834165834
34,4,2,0.0,0.0,1,1,0.5054945054945055
35,4,3,0.0,0.0,2,2,0.5054945054945055
36,4,4,3.483193762948948e-05,1.5558897747202674e-06,13,13,0.5054945054945055
37,4,5,0.013231356841926306,0.0021893103181378688,59,63,0.5014985014985015
38,4,6,0.11449710255449713,0.039972946112924575,767,768,0.5044955044955045
39,4,7,0.0766388076325542,0.030681922732747696,568,710,0.36363636363636365
40,5,0,0.00938974644591743,0.0019271310524345685,36,44,0.4975024975024975
41,5,1,0.008796788208052448,0.0020891682980366095,33,56,0.4825174825174825
42,5,2,0.0,0.0,3,3,0.5054945054945055
43,5,3,0.0016881585555933386,0.00020911630954103814,16,17,0.5044955044955045
44,5,4,0.0,0.0,4,4,0.5054945054945055
45,5,5,0.008972594743449466,0.0015404663705664212,34,33,0.5064935064935064
46,5,6,0.027102927572174845,0.0026093855268089976,128,76,0.5574425574425574
47,5,7,0.019629566363502958,0.010376616249447133,92,349,0.24875124875124874
48,6,0,1.2685236745115668e-05,7.609273425800684e-07,11,11,0.5054945054945055
49,6,1,3.791437929957453e-05,3.0096720552679107e-06,14,14,0.5054945054945055
50,6,2,0.013810472183982748,0.0020866957510316357,65,55,0.5154845154845155
51,6,3,0.04119597869165811,0.020142078470796645,206,565,0.14685314685314685
52,6,4,0.022002329371806083,0.002296162483169883,103,66,0.5424575424575424
53,6,5,0.008090797385304733,0.0016697394804585477,27,39,0.4935064935064935
54,6,6,0.05857763724728624,0.008306341571996676,344,284,0.5654345654345654
55,6,7,0.06528687923489541,0.02292906456707511,427,608,0.3246753246753247
56,7,0,0.007305042649033967,0.0013033454616863008,24,28,0.5014985014985015
57,7,1,0.005757875750143802,0.001241349890261817,23,27,0.5014985014985015
