head_idx,layer,head_in_layer,pair_balance_score,syn_red_score
0,0,0,0.8042322282025235,0.1778316521010683
1,0,1,0.8244421436227213,0.34722291739280514
2,0,2,0.8204259972244689,0.31356121689321087
3,0,3,0.8451156643091973,0.5204999328729022
4,0,4,0.8619459543466986,0.6615645571132429
5,0,5,0.8526127125124199,0.5833371320740354
6,0,6,0.8923499939592784,0.9163988121249134
7,0,7,0.8326609400890717,0.41610951605808155
8,1,0,0.8597460891274329,0.6431261844028706
9,1,1,0.8516330380975767,0.5751259008415497
10,1,2,0.872059779428993,0.746334512454916
11,1,3,0.8552857157896516,0.6057411549432619
12,1,4,0.8726269175500861,0.7510880327903414
13,1,5,0.8326159034494747,0.4157320373201846
14,1,6,0.8286186568713749,0.382228747401876
15,1,7,0.840711035832712,0.4835821340964563
16,2,0,0.8245412014477769,0.3480531796662655
17,2,1,0.8259693336551881,0.3600232011427285
18,2,2,0.8811167003084145,0.8222459279910298
19,2,3,0.8680554205825992,0.7127716104056123
20,2,4,0.819427258657462,0.3051901977155716
21,2,5,0.835849602638796,0.4428355845574273
22,2,6,0.8620336214728543,0.6622993471959944
23,2,7,0.8351378474433961,0.43686994290975056
24,3,0,0.8583560833179514,0.6314757228380679
25,3,1,0.8591004198202709,0.6377144477069856
26,3,2,0.8706209131506625,0.734274522375569
27,3,3,0.8431837752126031,0.504307626686982
28,3,4,0.8377213610108296,0.45852389954375816
29,3,5,0.8515333682609794,0.5742905089370504
30,3,6,0.8527950494152041,0.5848654055986802
31,3,7,0.8686183536264381,0.7174898854991886
32,4,0,0.8330627277159718,0.419477136015123
33,4,1,0.8535021095227682,0.5907916949357394
34,4,2,0.8243547035418479,0.3464900303109747
35,4,3,0.8406154436329836,0.4827809192804934
36,4,4,0.8808013598043524,0.8196028725466992
37,4,5,0.8629796920332736,0.6702289246312629
38,4,6,0.8663944904243732,0.698850371488307
39,4,7,0.852236510129123,0.580183957189952
40,5,0,0.8091049407141876,0.21867274027943642
41,5,1,0.8235368925312879,0.33963547209200134
42,5,2,0.8415283368360102,0.4904324176426474
43,5,3,0.7958265811968264,0.10737894845106952
44,5,4,0.8309637806517362,0.4018846181050322
45,5,5,0.8356087323138792,0.44081670777043613
46,5,6,0.8623182461478005,0.664684955092908
47,5,7,0.801913779922574,0.15839936455860715
48,6,0,0.8159402844061429,0.27596380224632827
49,6,1,0.844644198938388,0.5165483024953303
50,6,2,0.8328296160359581,0.4175232890241384
51,6,3,0.8078302587534711,0.20798887616219616
52,6,4,0.82768103466152,0.37436998059406285
53,6,5,0.8302719751161058,0.39608618636596954
54,6,6,0.8304629186350818,0.39768659703598513
55,6,7,0.8314820330042977,0.40622839787429743
56,7,0,0.83147726908642,0.4061884686583518
57,7,1,0.8471195664129997,0.5372958227035258
58,7,2,0.8269935314412928,0.36860760910734036
59,7,3,0.8449809842268631,0.5193710993730161
60,7,4,0.8494788549534203,0.5570704166461976
61,7,5,0.8466648101493413,0.5334842412446812
62,7,6,0.8407618624423141,0.48400814200059544
63,7,7,0.810292627459474,0.22862744599548396
64,8,0,0.8441972198888867,0.5128019064724031
65,8,1,0.7999011789812123,0.14153056462073685
66,8,2,0.849031463749257,0.5533205661110544
67,8,3,0.7943455554891384,0.09496559523613589
68,8,4,0.8081245199159811,0.21045525316612787
69,8,5,0.8531211717259348,0.5875988297474685
70,8,6,0.8530753688532172,0.587214928756182
71,8,7,0.816713994876334,0.282448727729201
72,9,0,0.8804844644109302,0.8169467846541562
73,9,1,0.8480710890037683,0.5452710968327228
74,9,2,0.8526187889475955,0.5833880622744569
75,9,3,0.8486911922722153,0.5504685494231881
76,9,4,0.8692799213649351,0.7230348763598731
77,9,5,0.8594966183098782,0.641035221795639
78,9,6,0.8454171782247859,0.5230270994939749
79,9,7,0.8501424572829265,0.5626324606185957
80,10,0,0.8125595247439089,0.24762765412664114
81,10,1,0.8473459130721391,0.5391929680497093
82,10,2,0.84499433151828,0.5194829709239017
83,10,3,0.8178863288078646,0.29227475242438306
84,10,4,0.7865309442240526,0.029466712017999143
85,10,5,0.8487878052835349,0.5512783202654111
86,10,6,0.8472747552360486,0.5385965521003997
87,10,7,0.814694368839872,0.26552104631047857
88,11,0,0.8259852460844597,0.3601565726325212
89,11,1,0.8124615311278166,0.24680631161850777
90,11,2,0.8444548555067978,0.5149613031049369
91,11,3,0.8271746998836721,0.37012608907360905
92,11,4,0.8421206935329363,0.49539730979138225
93,11,5,0.8628341707571647,0.6690092246684259
94,11,6,0.8127529404342653,0.24924878552850713
95,11,7,0.8518276027658549,0.5767566625075666
96,12,0,0.8408758040357825,0.4849631539482302
97,12,1,0.8355476110187666,0.44030441401263815
98,12,2,0.8500360183306791,0.5617403327485557
99,12,3,0.8466456532408557,0.5333236758538831
100,12,4,0.8428101808292386,0.5011763109942527
101,12,5,0.8553711356381356,0.6064571092614709
102,12,6,0.8223061490237824,0.3293198821624365
103,12,7,0.848387622609939,0.5479241523721359
104,13,0,0.830993382934839,0.40213273236410085
105,13,1,0.8381659026703421,0.46224986635826787
106,13,2,0.8508322255080186,0.5684138164519618
107,13,3,0.8702604963972796,0.7312536562007981
108,13,4,0.8430292336540669,0.5030123223971656
109,13,5,0.8877897242349065,0.878176491911196
110,13,6,0.8415678524925038,0.4907636217527636
111,13,7,0.8331535328261916,0.4202382273999848
112,14,0,0.8597387669288715,0.6430648127220279
113,14,1,0.8448920766877016,0.518625912654546
114,14,2,0.8495479126728681,0.5576492302746667
115,14,3,0.8507420882114322,0.5676583224085033
116,14,4,0.8540807447781988,0.5956415795602862
117,14,5,0.87272457819144,0.7519065844400727
118,14,6,0.8657024907713122,0.6930503127361414
119,14,7,0.824217375953551,0.34533900649630683
120,15,0,0.8989671132411311,0.9718608061231253
121,15,1,0.8619532986031601,0.6616261136744043
122,15,2,0.8373573904175308,0.455473246532798
123,15,3,0.8321402761938761,0.411745523722381
124,15,4,0.8383244682333894,0.46357889821207915
125,15,5,0.8874187294307261,0.8750669648305441
126,15,6,0.8437296865717859,0.5088832329647149
127,15,7,0.8612128740843953,0.65542017745553
128,16,0,0.8522955508144334,0.5806788121252884
129,16,1,0.832019205497311,0.4107307585413048
130,16,2,0.8445043883220537,0.5153764669527416
131,16,3,0.8463971542925547,0.5312408590582072
132,16,4,0.829887359524568,0.3928624954030472
133,16,5,0.8400237307388673,0.4778214232242345
134,16,6,0.8444520225898113,0.5149375587506029
135,16,7,0.8402576313900959,0.47978188305003777
136,17,0,0.8364731712244785,0.4480620820230905
137,17,1,0.8209443896867272,0.3179061710047895
138,17,2,0.8527679894975818,0.5846386004097701
139,17,3,0.8399015044782729,0.47679697257694187
140,17,4,0.8489805376883458,0.5528937246466193
141,17,5,0.8237763855141204,0.3416428045596046
142,17,6,0.814429941542468,0.2633047245914781
143,17,7,0.8337897932499485,0.4255711026740455
144,18,0,0.8444463634739356,0.5148901263502843
145,18,1,0.850536353375089,0.5659339369512579
146,18,2,0.8568613060189049,0.6189471093950936
147,18,3,0.8247701766991924,0.3499723568004264
148,18,4,0.8591522966813161,0.6381492583902127
149,18,5,0.8590234048078017,0.637068939295032
150,18,6,0.8609098720931775,0.652880538391677
151,18,7,0.8473254077939949,0.5390211011745744
152,19,0,0.8395668465998657,0.47399200678244885
153,19,1,0.8744613858711646,0.7664637977841194
154,19,2,0.8520553225359321,0.5786653167093931
155,19,3,0.8286735871543701,0.38268915062207404
156,19,4,0.8600066717848188,0.6453102819178742
157,19,5,0.8523694856264983,0.5812985035541924
158,19,6,0.8855025202304104,0.8590060811377433
159,19,7,0.8000731385855482,0.14297185986378452
160,20,0,0.8589712243660386,0.6366315841220902
161,20,1,0.8074132711008508,0.20449385579126494
162,20,2,0.8337846723026,0.425528180982746
163,20,3,0.8591923380166491,0.6384848685258813
164,20,4,0.8376538692149841,0.45795821084801724
165,20,5,0.8201748005375912,0.3114557887534782
166,20,6,0.8360329778803777,0.4443725610142237
167,20,7,0.8394902790633949,0.47335024893174077
168,21,0,0.8561804515543042,0.6132404650653024
169,21,1,0.8188394563732373,0.3002634787958729
170,21,2,0.8525747905108392,0.583019285329178
171,21,3,0.8401359752988297,0.4787622113294208
172,21,4,0.8352532712671765,0.43783737830710157
173,21,5,0.8658458725456303,0.6942520802678964
174,21,6,0.8257943743413886,0.35855676355885546
175,21,7,0.8485178876403309,0.5490159807080073
176,22,0,0.8117440057309161,0.24079230649612793
177,22,1,0.812990234035217,0.2512376836745464
178,22,2,0.8263940879647959,0.3635833184636882
179,22,3,0.8319756431242153,0.41036563650371277
180,22,4,0.8241801649799506,0.3450271192978767
181,22,5,0.8194194217535373,0.3051245119843761
182,22,6,0.8753830904862776,0.7741891498072747
183,22,7,0.813262794798064,0.2535221767823894
184,23,0,0.8139830179247034,0.2595587931747519
185,23,1,0.7862943478368232,0.027483657632913133
186,23,2,0.8514241532913892,0.573375113622274
