head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.2853368105320825,0.02307544285529706,127,110,0.5263157894736842
1,0,1,0.0026294272741566554,0.000926154400156012,2,3,0.42105263157894735
2,0,2,0.1714576961343559,0.009466558338307245,75,90,0.3391812865497076
3,0,3,0.017989405795029643,0.003387058647477356,8,28,0.30994152046783624
4,0,4,0.18546211058855513,0.010116074470843534,84,93,0.3742690058479532
5,0,5,0.08817134625398823,0.005115319156770494,31,59,0.2631578947368421
6,0,6,0.05234237573242071,0.004899818982648363,21,54,0.23391812865497075
7,0,7,0.036987002778260565,0.004373410840915582,16,45,0.2573099415204678
8,1,0,0.021910683489284346,0.0012570978659864002,11,5,0.4619883040935672
9,1,1,0.2855907087273569,0.02590836606619187,128,114,0.5087719298245614
10,1,2,0.029776210780051004,0.001148080797914373,14,4,0.4853801169590643
11,1,3,0.02188239317594696,0.0016707165133234188,10,9,0.4327485380116959
12,1,4,0.0002020522024964334,9.314300801928497e-05,1,1,0.4269005847953216
13,1,5,0.06163481111456769,0.0037576011206086495,23,38,0.3391812865497076
14,1,6,0.27704781942834056,0.02061442491557412,125,105,0.543859649122807
15,1,7,0.005275801219807076,0.0018753696705995125,3,14,0.36257309941520466
16,2,0,0.09378542644370218,0.0030025221704322895,37,24,0.5029239766081871
17,2,1,0.1360472154132197,0.004602448929984167,57,51,0.4619883040935672
18,2,2,0.1121483019754667,0.0008164718074435721,42,2,0.6608187134502924
19,2,3,0.06878969933744006,0.0034806184050238144,26,33,0.38596491228070173
20,2,4,0.14659279516871374,0.005941994589958234,62,66,0.40350877192982454
21,2,5,0.21695035030595738,0.005826099603041224,102,63,0.6549707602339181
22,2,6,0.08490906142236879,0.00543031096892087,30,61,0.24561403508771928
23,2,7,0.012315557815450061,0.003081961985227002,4,27,0.29239766081871343
24,3,0,0.27777889064024147,0.011081885880007561,126,96,0.6023391812865497
25,3,1,0.24957356386042495,0.0026381600301954833,119,21,1.0
26,3,2,0.20554142252312085,0.006760618083630951,93,72,0.5497076023391813
27,3,3,0.15463012881804858,0.0038109953900414776,66,39,0.5847953216374269
28,3,4,0.14511701055760573,0.004063924340186629,61,43,0.5321637426900585
29,3,5,0.02674507839460734,0.0030032658369771445,13,25,0.3567251461988304
30,3,6,0.13607720347412305,0.00421453118430016,58,44,0.5087719298245614
31,3,7,0.018266948102716646,0.0022124475185727535,9,16,0.38596491228070173
32,4,0,0.12474020767736142,0.005926095908688989,52,65,0.3508771929824561
33,4,1,0.10432484970988092,0.009439210030598687,38,88,0.13450292397660818
34,4,2,0.10731334110741068,0.018793437370235016,39,103,0.05263157894736842
35,4,3,0.15987757188211613,0.019541311127868492,68,104,0.21637426900584794
36,4,4,0.19576193148118162,0.035564728885521396,89,120,0.24561403508771928
37,4,5,0.21888723537404534,0.03397687620383603,106,118,0.3567251461988304
38,4,6,0.20827867145133058,0.008560607048136507,95,83,0.49707602339181284
39,4,7,0.19121444109035873,0.0034794351771834514,87,32,0.7485380116959064
40,5,0,0.21707184202214985,0.006096258733532888,103,69,0.6257309941520468
41,5,1,0.1988208830104894,0.04269011985846014,91,127,0.21637426900584794
42,5,2,0.11275966746993989,0.0035709936590456763,43,34,0.47953216374269003
43,5,3,0.2210737798150574,0.020659281019204053,107,106,0.4327485380116959
44,5,4,0.2163348084512142,0.03878054545472936,101,122,0.30409356725146197
45,5,5,0.12175076027643658,0.005963157826000688,51,67,0.3333333333333333
46,5,6,0.16759074921751213,0.012800400097109936,73,98,0.2807017543859649
47,5,7,0.09258472121695126,0.006159378911448567,36,70,0.22807017543859648
48,6,0,0.17901204107923385,0.009457923687292794,79,89,0.3684210526315789
49,6,1,0.2321364900593005,0.03962696864133378,113,123,0.3684210526315789
50,6,2,0.23497861801431574,0.01583981109144979,114,100,0.5087719298245614
51,6,3,0.20670241418990745,0.0295165394295197,94,115,0.30409356725146197
52,6,4,0.25038770020442036,0.0063982029998956,120,71,0.7134502923976608
53,6,5,0.24044041084271733,0.025179991306181385,115,113,0.43859649122807015
54,6,6,0.17416642290826442,0.005084856702771028,77,57,0.543859649122807
55,6,7,0.10794155121763466,0.007136520245222281,40,76,0.21637426900584794
56,7,0,0.21268965615343005,0.04237841195040551,100,126,0.27485380116959063
57,7,1,0.2260998466060173,0.030802758551259513,111,117,0.391812865497076
58,7,2,0.21740362663006513,0.05197974530281976,104,128,0.28654970760233917
