head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.13794010133171586,0.0557331237805392,127,126,0.4946236559139785
1,0,1,0.019778997372642267,0.0033743885324409775,1,1,0.4838709677419355
2,0,2,0.07348982676375514,0.0155790810755389,77,85,0.3978494623655914
3,0,3,0.024246636992002742,0.0049666593712006475,5,9,0.44086021505376344
4,0,4,0.03788202295947688,0.008889572853319693,34,43,0.3870967741935484
5,0,5,0.06916004580240816,0.013054364266060098,71,76,0.43010752688172044
6,0,6,0.023962584953998698,0.005942281433013034,4,19,0.3225806451612903
7,0,7,0.024393238564295646,0.0049936383174245145,6,10,0.44086021505376344
8,1,0,0.033804128974302496,0.005076649725926438,25,11,0.6344086021505376
9,1,1,0.1415657119075439,0.057714740214409095,128,127,0.4946236559139785
10,1,2,0.04044324695610116,0.006298967135181908,37,23,0.6344086021505376
11,1,3,0.023252902573077782,0.0044979944062456265,2,3,0.4731182795698925
12,1,4,0.028269070885289124,0.004695395438057866,10,5,0.5376344086021505
13,1,5,0.03596424943984936,0.006143292451993392,27,21,0.5483870967741935
14,1,6,0.13221409107890442,0.03635125235330054,123,113,0.5913978494623656
15,1,7,0.04176312541880207,0.004933849703085686,38,8,0.8064516129032258
16,2,0,0.0365176595392346,0.0057459985231105805,28,18,0.5913978494623656
17,2,1,0.04212113424935427,0.006210585050583279,41,22,0.6881720430107527
18,2,2,0.05699582657882538,0.007039782156572418,58,31,0.7741935483870968
19,2,3,0.03224892050475037,0.005683036379010255,21,17,0.5268817204301075
20,2,4,0.04188277685219717,0.008715390402420373,40,41,0.4731182795698925
21,2,5,0.04937481630137606,0.010994420549150185,49,60,0.3655913978494624
22,2,6,0.03263500138179096,0.005398951624586159,24,13,0.6021505376344086
23,2,7,0.0285091430893501,0.005659767544088325,11,16,0.43010752688172044
24,3,0,0.11656359168141171,0.017942870991963945,118,94,0.7419354838709677
25,3,1,0.05986975242912456,0.0106874209455267,59,58,0.4946236559139785
26,3,2,0.09842822896720833,0.01712311550811428,103,91,0.6129032258064516
27,3,3,0.07848888127431372,0.010255928835823774,81,55,0.7634408602150538
28,3,4,0.08118300429021576,0.009835633307278343,84,48,0.8709677419354839
29,3,5,0.03162478036535919,0.005588454387406706,18,14,0.5268817204301075
30,3,6,0.06888881080037038,0.011244932152872035,70,63,0.5591397849462365
31,3,7,0.03476508327971913,0.006421370180574087,26,25,0.4946236559139785
32,4,0,0.05390884865851173,0.009060143273326451,55,45,0.5913978494623656
33,4,1,0.0370409894972858,0.009987281042238602,30,50,0.26881720430107525
34,4,2,0.05184875670173095,0.02162169977008468,53,98,0.0
35,4,3,0.0802417145211561,0.024599593640251435,82,102,0.26881720430107525
36,4,4,0.10024092222912351,0.042706055662416656,106,117,0.3655913978494624
37,4,5,0.10874875839745501,0.03824173406897506,112,115,0.45161290322580644
38,4,6,0.08903710176423212,0.015303320050237774,95,82,0.6236559139784946
39,4,7,0.07739181658545127,0.011800842116163841,80,70,0.5913978494623656
40,5,0,0.08591907361989434,0.017692165557398307,88,93,0.43010752688172044
41,5,1,0.10257370291507871,0.04872152058350385,108,123,0.3225806451612903
42,5,2,0.06055179400890317,0.010210512646038067,60,54,0.5483870967741935
43,5,3,0.10467183293574868,0.02662368641525124,110,105,0.5376344086021505
44,5,4,0.11180570343681201,0.05006118706475927,116,125,0.3870967741935484
45,5,5,0.06413744711298576,0.011786017332094093,64,69,0.43010752688172044
46,5,6,0.08764809805183711,0.025055432880690533,91,103,0.3548387096774194
47,5,7,0.041842130508792354,0.010550684875173877,39,57,0.2903225806451613
48,6,0,0.08711752229718933,0.018948679160808057,90,95,0.43010752688172044
49,6,1,0.13234743707510976,0.0456586240318532,124,119,0.5376344086021505
50,6,2,0.11158128538248568,0.024111922937183464,114,101,0.6236559139784946
51,6,3,0.0897536112766474,0.03185967503131313,97,110,0.34408602150537637
52,6,4,0.08507713764759481,0.015561801943066117,87,84,0.5161290322580645
53,6,5,0.12774464201745842,0.03424984919601262,122,112,0.5913978494623656
54,6,6,0.06421534032465627,0.012516602250320138,65,73,0.3978494623655914
55,6,7,0.048871117920378744,0.012601306027615737,48,74,0.20430107526881722
56,7,0,0.09769256863991545,0.04838654340651211,102,122,0.26881720430107525
57,7,1,0.10107716562180408,0.03838645123224846,107,116,0.3870967741935484
58,7,2,0.12422231335974987,0.06170220631506874,121,128,0.40860215053763443
59,7,3,0.09911131927495544,0.02809882404181949,105,107,0.46236559139784944
60,7,4,0.1116333226362703,0.02145830402340794,115,97,0.6774193548387096
61,7,5,0.1323577393275703,0.022540709667363896,125,99,0.7634408602150538
62,7,6,0.09497586612014107,0.013280366563470931,100,78,0.7204301075268817
63,7,7,0.10285333020554017,0.016794553206426296,109,89,0.6989247311827957
64,8,0,0.132609029527321,0.04649076042239165,126,121,0.5376344086021505
65,8,1,0.11782689536699732,0.04898734977892643,119,124,0.43010752688172044
66,8,2,0.12192920325290775,0.044747023832192465,120,118,0.5053763440860215
67,8,3,0.0989516696830178,0.011609168199461372,104,67,0.8817204301075269
68,8,4,0.11446500551901453,0.016244072255230606,117,87,0.8064516129032258
69,8,5,0.09395934725909844,0.03081949245539111,99,109,0.3763440860215054
70,8,6,0.0699125699060914,0.008887870964667678,73,42,0.8172043010752689
71,8,7,0.0867647474929317,0.026291843162740646,89,104,0.3225806451612903
72,9,0,0.06315417230707075,0.01250175448129897,63,72,0.3870967741935484
73,9,1,0.08949020870578168,0.019560486784452203,96,96,0.4838709677419355
74,9,2,0.09594488464429529,0.02753684376048306,101,106,0.43010752688172044
75,9,3,0.0832276973517171,0.011308862772463379,85,65,0.6989247311827957
76,9,4,0.08803592933369223,0.03367515516348109,93,111,0.2903225806451613
77,9,5,0.0849217017492976,0.016443915727411152,86,88,0.46236559139784944
78,9,6,0.08799917276616256,0.011134518338549892,92,62,0.8064516129032258
79,9,7,0.05189094868003191,0.013669244351730914,54,79,0.21505376344086022
80,10,0,0.05696596818931914,0.014259859237880503,57,80,0.23655913978494625
81,10,1,0.07691252231325756,0.030663593893305467,79,108,0.17204301075268819
82,10,2,0.10563464359479367,0.04579374728182012,111,120,0.3870967741935484
83,10,3,0.07017386433146282,0.015868718032937892,75,86,0.3655913978494624
84,10,4,0.06997757202223952,0.013028678972696394,74,75,0.4731182795698925
85,10,5,0.06556073547499328,0.023558252850939862,67,100,0.12903225806451613
86,10,6,0.11112927229376915,0.03767677837607282,113,114,0.4731182795698925
87,10,7,0.08830223883882934,0.009517783728225539,94,46,1.0
88,11,0,0.08078055522835867,0.013112021755044088,83,77,0.5483870967741935
89,11,1,0.03747501576388206,0.006428588604336866,33,26,0.5591397849462365
90,11,2,0.0380361372109721,0.008322344962753714,35,38,0.45161290322580644
91,11,3,0.04497097795158989,0.010195465525262357,45,53,0.3978494623655914
92,11,4,0.06797193464042418,0.014551976673675917,69,81,0.3548387096774194
93,11,5,0.026052705685083864,0.004569950556175958,7,4,0.5161290322580645
94,11,6,0.03115745836672125,0.007697957799264221,16,34,0.2903225806451613
95,11,7,0.09013252257820623,0.01128362578662065,98,64,0.8494623655913979
96,12,0,0.03709298727740716,0.006626588276009115,31,29,0.5053763440860215
97,12,1,0.0647520253683642,0.011525558102193955,66,66,0.4838709677419355
98,12,2,0.04816762351797751,0.010293502939703613,46,56,0.3763440860215054
99,12,3,0.054398376705600215,0.011092661085743135,56,61,0.43010752688172044
100,12,4,0.0670057547568097,0.010185188451381172,68,52,0.6559139784946236
