head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
0,0,0,0.07054151694372367,0.07423993112951796,3,8,0.455026455026455
1,0,1,0.07943208281103355,0.06170674200744199,4,1,0.4973544973544973
2,0,2,0.08407644154208802,0.07433035432971563,6,9,0.4656084656084656
3,0,3,0.06951484738444137,0.06379614189055975,1,3,0.4708994708994709
4,0,4,0.06976816557391932,0.06908710197113628,2,5,0.4656084656084656
5,0,5,0.08278875416622591,0.06977945300522637,5,7,0.4708994708994709
6,0,6,0.08895595907854725,0.06970321829680141,8,6,0.49206349206349204
7,0,7,0.08907203104499482,0.0645536006150255,9,4,0.5079365079365079
8,1,0,0.11517060257930561,0.12022211432522795,14,48,0.30158730158730157
9,1,1,0.1331973754963568,0.13150936436572355,25,65,0.2698412698412698
10,1,2,0.11603156188456905,0.12296163629170433,15,54,0.2751322751322751
11,1,3,0.09466564377808617,0.09239306658248604,11,15,0.4603174603174603
12,1,4,0.10442573897396831,0.1021511478529079,12,23,0.42328042328042326
13,1,5,0.12963179308008568,0.11510671684975285,22,31,0.43386243386243384
14,1,6,0.09136918562447864,0.09885870953446477,10,21,0.42328042328042326
15,1,7,0.11695052789014915,0.12813543228438018,16,62,0.23809523809523808
16,2,0,0.12947791199722516,0.11632936082874573,21,35,0.4074074074074074
17,2,1,0.1299491145964814,0.14195928985090106,23,79,0.18518518518518517
18,2,2,0.10854388480879953,0.11982224316817863,13,46,0.30687830687830686
19,2,3,0.12065719822944808,0.11912317234243734,17,43,0.3439153439153439
20,2,4,0.08803550701892668,0.09259239147232703,7,16,0.43386243386243384
21,2,5,0.12199423129196622,0.14090081965417045,18,77,0.1693121693121693
22,2,6,0.1303811945908847,0.14245771901049606,24,81,0.17989417989417988
23,2,7,0.13651380753725792,0.1395046944661125,28,73,0.24338624338624337
24,3,0,0.13605532805822468,0.09225236965686805,27,14,0.5502645502645502
25,3,1,0.14341453756380182,0.12692246648394578,34,61,0.3386243386243386
26,3,2,0.12786517043603302,0.1349287223497484,20,69,0.2222222222222222
27,3,3,0.15379854602398668,0.16805240520108697,40,119,0.06349206349206349
28,3,4,0.1409536667763548,0.09879009334675137,32,19,0.5502645502645502
29,3,5,0.15214874578134382,0.14773638328695002,38,87,0.2222222222222222
30,3,6,0.12474401681587942,0.11864429369441237,19,41,0.36507936507936506
31,3,7,0.13829774455023516,0.1703267156486772,30,121,0.0
32,4,0,0.1675722149330706,0.13255709361461188,59,66,0.4444444444444444
33,4,1,0.15390388877960184,0.15551537482344557,41,101,0.164021164021164
34,4,2,0.14373340841999668,0.121612646652322,35,52,0.3915343915343915
35,4,3,0.13681463653453893,0.15080901515612144,29,94,0.13756613756613756
36,4,4,0.13929202050515999,0.10398878529049119,31,24,0.5185185185185185
37,4,5,0.16836892743722925,0.1417495744184261,60,78,0.3862433862433862
38,4,6,0.14638076781174608,0.08577650819605778,36,10,0.6190476190476191
39,4,7,0.1701328617958275,0.18660535250771743,65,125,0.164021164021164
40,5,0,0.16422730226320995,0.14695723671025576,51,84,0.30687830687830686
41,5,1,0.16092608078521417,0.1312574176475851,50,64,0.4074074074074074
42,5,2,0.1684711149795433,0.14015124034451423,61,74,0.4126984126984127
43,5,3,0.14915844825921973,0.153823692892681,37,98,0.15873015873015872
44,5,4,0.1419471748321686,0.14320290378630773,33,83,0.21693121693121692
45,5,5,0.16881150367881742,0.12273728667626865,63,53,0.5343915343915344
46,5,6,0.1607149738425654,0.15941396480699352,49,111,0.15343915343915343
47,5,7,0.1524925160950287,0.09222773209674942,39,13,0.6190476190476191
48,6,0,0.15647046053250926,0.09706084993885733,45,17,0.6296296296296297
49,6,1,0.18894203116992891,0.18835337822771878,89,126,0.2857142857142857
50,6,2,0.16915629858066986,0.1618326089118254,64,114,0.21693121693121692
51,6,3,0.15825501782996335,0.14060287473500982,47,76,0.328042328042328
52,6,4,0.16672271008406347,0.11581876598189168,57,34,0.6031746031746031
53,6,5,0.1651301948089834,0.1491520877054536,53,93,0.2698412698412698
54,6,6,0.1802941111724501,0.1427326543703343,75,82,0.4444444444444444
55,6,7,0.15915573097009383,0.15313838350397194,48,97,0.2222222222222222
56,7,0,0.16873515671362113,0.14835244196661895,62,89,0.3386243386243386
57,7,1,0.15456580032765407,0.1248098849505905,43,57,0.4074074074074074
58,7,2,0.13595581936028597,0.11686265149290351,26,36,0.42857142857142855
59,7,3,0.17019968240958086,0.1387855838687118,66,71,0.455026455026455
60,7,4,0.18333661120467104,0.12153663554394559,80,50,0.6402116402116402
61,7,5,0.1674947682212138,0.14863428199173487,58,90,0.31216931216931215
62,7,6,0.1751910524315349,0.14871013856988113,73,91,0.3862433862433862
63,7,7,0.18392775963478025,0.10704448360968015,81,25,0.7777777777777778
64,8,0,0.15649774510920414,0.14232565757798085,46,80,0.30158730158730157
65,8,1,0.1642292047699537,0.11795681328527233,52,40,0.544973544973545
66,8,2,0.15484165225076876,0.11706422537095491,44,37,0.5185185185185185
67,8,3,0.17051520641685086,0.12598179980307606,69,59,0.5343915343915344
68,8,4,0.18832178652857287,0.11739164554062993,86,38,0.7354497354497355
69,8,5,0.16665280883918918,0.11749246074445507,56,39,0.5714285714285714
70,8,6,0.18753298255095682,0.21587812956295263,85,128,0.25396825396825395
71,8,7,0.15437789232683483,0.14768050278515346,42,86,0.24867724867724866
72,9,0,0.1717779721692157,0.15883136543115678,71,109,0.2804232804232804
73,9,1,0.1843668737205385,0.11895156440427725,82,42,0.6931216931216931
74,9,2,0.19299167442969317,0.11549024964318771,95,32,0.8148148148148148
75,9,3,0.18844856823861741,0.09757340094802205,87,18,0.8465608465608465
76,9,4,0.18144793065581274,0.15648724731934827,77,105,0.3333333333333333
77,9,5,0.18531517970236708,0.17490939847307502,83,123,0.2698412698412698
78,9,6,0.1826793895464109,0.1563994800247093,78,104,0.3439153439153439
79,9,7,0.20341929131546801,0.165282640142651,112,116,0.4603174603174603
80,10,0,0.1925548120439371,0.12683917262423133,94,60,0.6613756613756614
81,10,1,0.1991455674827857,0.16028361536821134,103,113,0.42857142857142855
82,10,2,0.19496810821907795,0.15868562168243644,98,108,0.42857142857142855
83,10,3,0.16573974807232453,0.0901977409020189,55,12,0.708994708994709
84,10,4,0.20188953695165845,0.13090243888756944,107,63,0.7142857142857143
85,10,5,0.21606160134285024,0.13291504840613286,121,68,0.7619047619047619
86,10,6,0.18849162163933086,0.157301675846096,88,106,0.3862433862433862
87,10,7,0.19106522067070864,0.1524730115288927,91,96,0.455026455026455
88,11,0,0.21462600215913166,0.17187877570549942,120,122,0.4708994708994709
89,11,1,0.17445626801066377,0.15833583306005747,72,107,0.2962962962962963
90,11,2,0.20132121391607088,0.1013114500508458,106,22,0.9259259259259259
91,11,3,0.17036630868874714,0.12485281868734904,68,58,0.5343915343915344
92,11,4,0.22436168358104683,0.1680459034733571,126,118,0.5238095238095238
93,11,5,0.19119454681263628,0.16824094538411968,92,120,0.3333333333333333
94,11,6,0.19489301966410663,0.153904835655044,97,99,0.4708994708994709
